COUNTY,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01027,35072,GOODWATER,AL,0.097245206,0.030456853,0.0,0.092777829
01027,35082,HOLLINS,AL,0.0,0.002538071,0.0,9.1768e-05
01027,36256,DAVISTON,AL,0.003699017,0.002538071,0.0,0.003578967
01027,36268,MUNFORD,AL,0.003504332,0.0,0.0,0.003303662
01027,36266,LINEVILLE,AL,0.328628443,0.340101523,0.173913043,0.325777737
01027,36276,WADLEY,AL,0.015477465,0.015228426,0.0,0.015141782
01027,35160,TALLADEGA,AL,0.048476589,0.0,0.004347826,0.04579242
01027,36255,CRAGFORD,AL,0.070573348,0.032994924,0.0,0.067725062
01027,36251,ASHLAND,AL,0.355884357,0.461928934,0.813043478,0.369367716
01027,36258,DELTA,AL,0.076511243,0.111675127,0.008695652,0.076351289
01029,36272,PIEDMONT,AL,0.025615546,0.006589786,0.0,0.024125946
01029,36258,DELTA,AL,0.046593795,0.037891269,0.042372881,0.046002862
01029,36273,RANBURNE,AL,0.184387766,0.189456343,0.127118644,0.18401145
01029,36268,MUNFORD,AL,0.000110412,0.0,0.0,0.000102229
01029,36207,ANNISTON,AL,0.003422767,0.0,0.0,0.003169086
01029,36264,HEFLIN,AL,0.541570056,0.657331137,0.737288136,0.551114292
01029,36262,FRUITHURST,AL,0.102903831,0.07907743,0.050847458,0.100797383
01029,36269,MUSCADINE,AL,0.095395826,0.02800659,0.042372881,0.090574525
01029,36261,EDWARDSVILLE,AL,0.0,0.001647446,0.0,0.000102229
01031,36010,BRUNDIDGE,AL,0.014738663,0.004928315,0.0,0.013806106
01031,36453,KINSTON,AL,0.027348039,0.017473118,0.003361345,0.026243766
01031,36316,CHANCELLOR,AL,0.018697807,0.008960573,0.0,0.017698577
01031,36346,JACK,AL,0.03044216,0.010304659,0.0,0.02852451
01031,36351,NEW BROCKTON,AL,0.087700037,0.061827957,0.001680672,0.084387544
01031,36467,OPP,AL,0.006587484,0.0,0.0,0.006021165
01031,36009,BRANTLEY,AL,0.002062747,0.000896057,0.0,0.001946235
01031,36034,GLENWOOD,AL,0.004358386,0.000896057,0.0,0.00404452
01031,36323,ELBA,AL,0.158332502,0.151433692,0.189915966,0.158435713
01031,36360,OZARK,AL,0.000432512,0.0,0.0,0.000395329
01031,36477,SAMSON,AL,0.006454403,0.004928315,0.0,0.006234035
01031,36322,DALEVILLE,AL,0.001829857,0.000448029,0.0,0.001702956
01031,36330,ENTERPRISE,AL,0.619722527,0.734767025,0.805042017,0.630884321
01031,36318,COFFEE SPRINGS,AL,0.007951559,0.000896057,0.0,0.007328792
01031,36079,TROY,AL,0.008982932,0.002240143,0.0,0.00836273
01031,36311,ARITON,AL,0.004358386,0.0,0.0,0.0039837
01033,35662,MUSCLE SHOALS,AL,0.042998094,0.069473684,0.000839631,0.044237342
01033,35646,LEIGHTON,AL,0.071196322,0.033684211,0.017632242,0.066122409
01033,35653,RUSSELLVILLE,AL,0.006587061,0.000526316,0.001679261,0.005877001
01033,35616,CHEROKEE,AL,0.072289494,0.032105263,0.008396306,0.066663388
01033,35654,RUSSELLVILLE,AL,0.016677879,0.012894737,0.005037783,0.015983476
01033,35660,SHEFFIELD,AL,0.18012109,0.227894737,0.204869857,0.185309956
01033,35674,TUSCUMBIA,AL,0.319122099,0.292105263,0.450041982,0.3204318
01033,35582,RED BAY,AL,5.606e-05,0.0,0.0,4.918e-05
01033,35661,MUSCLE SHOALS,AL,0.288373136,0.330789474,0.311502939,0.293013992
01033,35672,TOWN CREEK,AL,0.002578764,0.000526316,0.0,0.002311456
01035,36768,PINE APPLE,AL,0.000110047,0.0,0.0,0.000100776
01035,36454,LENOX,AL,0.006052603,0.004032258,0.010869565,0.005945783
01035,36401,EVERGREEN,AL,0.572796302,0.86155914,0.902173913,0.597500756
01035,36432,CASTLEBERRY,AL,0.224276439,0.075268817,0.043478261,0.211427996
01035,36460,MONROEVILLE,AL,0.002641136,0.00672043,0.0,0.002922503
01035,36330,ENTERPRISE,AL,0.000660284,0.0,0.0,0.000604656
01035,36471,PETERMAN,AL,0.006272697,0.0,0.0,0.005744231
01035,36456,MC KENZIE,AL,0.033894575,0.010752688,0.010869565,0.031945984
01035,36473,RANGE,AL,0.015076483,0.001344086,0.010869565,0.014007861
01035,36475,REPTON,AL,0.092659844,0.022849462,0.02173913,0.086768114
01035,36426,BREWTON,AL,0.011114779,0.008064516,0.0,0.010783029
01035,36474,RED LEVEL,AL,0.00902388,0.001344086,0.0,0.008364406
01035,36502,ATMORE,AL,0.005392319,0.002688172,0.0,0.005139575
01035,36421,ANDALUSIA,AL,0.01353582,0.004032258,0.0,0.012697773
01035,36033,GEORGIANA,AL,0.006492792,0.001344086,0.0,0.006046559
01037,35010,ALEXANDER CITY,AL,0.168256819,0.061349693,0.147058824,0.164419031
01037,35072,GOODWATER,AL,0.180940622,0.190184049,0.294117647,0.181680872
01037,36080,TITUS,AL,0.001683691,0.0,0.0,0.001618298
01037,35089,KELLYTON,AL,0.143338197,0.171779141,0.294117647,0.144891574
01037,35046,CLANTON,AL,0.018520597,0.018404908,0.0,0.018448592
01037,35150,SYLACAUGA,AL,0.016275676,0.036809816,0.0,0.016938181
01037,36026,EQUALITY,AL,0.061959816,0.039877301,0.058823529,0.061171647
01037,35151,SYLACAUGA,AL,0.209900101,0.122699387,0.0,0.206063221
01037,35136,ROCKFORD,AL,0.15063419,0.294478528,0.205882353,0.155895997
01037,35183,WEOGUFKA,AL,0.048490291,0.064417178,0.0,0.048872586
01039,36453,KINSTON,AL,0.001081756,0.000776096,0.0,0.001041202
01039,36474,RED LEVEL,AL,0.073767423,0.017074117,0.003571429,0.067603748
01039,36442,FLORALA,AL,0.099147077,0.128055879,0.25,0.103488026
01039,36477,SAMSON,AL,0.000790514,0.000388048,0.0,0.000743716
01039,36455,LOCKHART,AL,0.0,0.000388048,0.0,3.7186e-05
01039,36028,DOZIER,AL,0.031412523,0.006984866,0.0,0.028744608
01039,36323,ELBA,AL,4.1606e-05,0.000388048,0.0,7.4372e-05
01039,36467,OPP,AL,0.233950489,0.230112534,0.271428571,0.233972929
01039,36420,ANDALUSIA,AL,0.304139796,0.491268917,0.392857143,0.322995686
01039,36476,RIVER FALLS,AL,0.0,0.000388048,0.0,3.7186e-05
01039,36038,GANTT,AL,0.0,0.0,0.007142857,7.4372e-05
01039,36456,MC KENZIE,AL,0.003994175,0.001552192,0.0,0.003718578
01039,36483,WING,AL,0.009569378,0.003104385,0.0,0.008850216
01039,36421,ANDALUSIA,AL,0.242105263,0.11951882,0.075,0.228618176
01041,36037,GREENVILLE,AL,0.002850252,0.002932551,0.0,0.002824004
01041,36049,LUVERNE,AL,0.391800044,0.727272727,0.738738739,0.418759455
01041,36041,HIGHLAND HOME,AL,0.112256084,0.073313783,0.045045045,0.108825013
01041,36035,GOSHEN,AL,0.028173646,0.013196481,0.009009009,0.026928896
01041,36467,OPP,AL,0.00065775,0.0,0.0,0.000605144
01041,36036,GRADY,AL,0.053387415,0.024926686,0.0,0.050832073
01041,36046,LAPINE,AL,0.067200175,0.021994135,0.0,0.063338376
01041,36034,GLENWOOD,AL,0.010524008,0.004398827,0.0,0.009984871
01041,36323,ELBA,AL,0.001205876,0.001466276,0.009009009,0.001311145
01041,36042,HONORAVILLE,AL,0.064240298,0.011730205,0.0,0.059909228
01041,36032,FORT DEPOSIT,AL,0.000109625,0.0,0.0,0.000100857
01041,36071,RUTLEDGE,AL,0.05393554,0.027859238,0.0,0.051538074
01041,36028,DOZIER,AL,0.048125411,0.019061584,0.0,0.045587494
01041,36009,BRANTLEY,AL,0.165533874,0.071847507,0.198198198,0.159455371
01043,35619,DANVILLE,AL,0.00028476,0.0,0.0,0.000259772
01043,35058,CULLMAN,AL,0.120244514,0.115375332,0.111471861,0.119754775
01043,35079,HAYDEN,AL,0.0,0.000241371,0.0,1.7318e-05
01043,35098,LOGAN,AL,0.014902422,0.002896452,0.002164502,0.013837175
01043,35621,EVA,AL,0.00186043,0.000482742,0.0,0.001731812
01043,35056,CULLMAN,AL,0.029671957,0.106927347,0.001082251,0.03475746
01043,35622,FALKVILLE,AL,0.015642797,0.001448226,0.006493506,0.014477945
01043,35541,ARLEY,AL,0.000246792,0.0,0.0,0.000225136
01043,35077,HANCEVILLE,AL,0.149707647,0.111754767,0.153679654,0.147048127
01043,35070,GARDEN CITY,AL,0.0,0.000241371,0.0,1.7318e-05
01043,35540,ADDISON,AL,0.001063103,0.000241371,0.0,0.000987133
01043,35019,BAILEYTON,AL,0.021243071,0.012792662,0.018398268,0.02059124
01043,35087,JOPPA,AL,0.011580226,0.002655081,0.015151515,0.010997004
01043,35033,BREMEN,AL,0.044669299,0.009654839,0.006493506,0.041546161
01043,35053,CRANE HILL,AL,0.053003265,0.009172098,0.023809524,0.049391268
01043,35083,HOLLY POND,AL,0.03350672,0.011344436,0.017316017,0.031657517
01043,35057,CULLMAN,AL,0.150277166,0.078686942,0.116883117,0.144606273
01043,35055,CULLMAN,AL,0.217917078,0.471397538,0.431818182,0.239526869
01043,35976,GUNTERSVILLE,AL,0.000227808,0.0,0.0,0.000207817
01043,35670,SOMERVILLE,AL,1.8984e-05,0.0,0.0,1.7318e-05
01043,35179,VINEMONT,AL,0.112840762,0.055273956,0.08008658,0.108186274
01043,35016,ARAB,AL,0.021091199,0.009413469,0.015151515,0.020158288
01045,36345,HEADLAND,AL,0.006276479,0.001847575,0.0,0.005886936
01045,36361,OZARK,AL,0.052188922,0.095612009,0.003210273,0.054021297
01045,36303,DOTHAN,AL,0.019111878,0.043879908,0.07223114,0.02161429
01045,36311,ARITON,AL,0.035493488,0.016166282,0.009630819,0.033821026
01045,36350,MIDLAND CITY,AL,0.158167268,0.073441109,0.142857143,0.152598621
01045,36374,SKIPPERVILLE,AL,0.020461321,0.012009238,0.0,0.019565406
01045,36330,ENTERPRISE,AL,0.063988702,0.029099307,0.046548957,0.061495397
01045,36371,PINCKARD,AL,0.0,0.000461894,0.0,2.8858e-05
