RegionID,RegionName,StateName,SizeRank,zhvi_latest_date,zhvi_latest_value,zhvi_pct_change_5y,zhvi_slope_per_year_10y,temp_latest_date,market_temp_latest,market_temp_pct_change_5y,market_temp_slope_per_year_10y
394435,"Camden, AR",AR,839,2026-01-31,101562.31441954862,-2.5938825082710726,3076.184837690265,2026-01-31,34.0,-45.16129032258065,0.9717679128292406
394436,"Campbellsville, KY",KY,739,2026-01-31,192948.1677959516,49.670366371928495,10806.621362109421,2026-01-31,21.0,-71.23287671232876,-2.6405308059952994
394437,"Ca-¦on City, CO",CO,612,2026-01-31,331004.49698158324,32.02684472670854,20988.64075333712,2026-01-31,30.0,-63.85542168674698,-3.056774171505423
394439,"Canton, OH",OH,137,2026-01-31,203432.81104158555,39.65305969233788,10334.577740300982,2026-01-31,52.0,-17.460317460317466,3.5014306463465323
394440,"Cape Coral, FL",FL,78,2026-01-31,336669.06811285025,29.901208787695754,22210.809931967768,2026-01-31,37.0,-42.1875,-1.2474424200241498
394441,"Cape Girardeau, MO",MO,405,2026-01-31,220700.41477363635,31.244203417003135,9835.13966324294,2026-01-31,38.0,-38.70967741935484,3.825103791999383
394442,"Carbondale, IL",IL,321,2026-01-31,141543.25466239394,19.094389443057125,4288.552968635148,2026-01-31,32.0,-61.904761904761905,5.6325550451484006
394443,"Carlsbad, NM",NM,530,2026-01-31,229150.4525631064,-5.82634446821052,4822.340766021921,2026-01-31,47.0,-2.083333333333337,1.192401479404411
394444,"Carson City, NV",NV,551,2026-01-31,478786.9175123996,28.68979176480817,28047.730880901538,2026-01-31,67.0,-23.863636363636363,-2.189834008388672
394445,"Casper, WY",WY,454,2026-01-31,301852.21829738986,32.049586583513175,12098.663801255718,2026-01-31,44.0,-37.142857142857146,-0.024248610582711865
394446,"Cedar City, UT",UT,562,2026-01-31,397618.026871146,41.343059135288065,26307.20095630825,2026-01-31,56.0,-67.2514619883041,-3.9508395501020255
394447,"Cedar Rapids, IA",IA,179,2026-01-31,230288.42964786524,31.024355757463606,9622.313937503444,2026-01-31,53.0,-36.904761904761905,0.5685904279762835
394448,"Cedartown, GA",GA,675,2026-01-31,213249.9371873561,50.66227138200985,16282.617774911623,2026-01-31,-15.0,-110.94890510948905,-5.026088995837628
394449,"Celina, OH",OH,681,2026-01-31,258792.67161969905,41.57530367707678,13357.044562375644,2026-01-31,56.0,0.0,3.215993054442797
394451,"Centralia, IL",IL,728,2026-01-31,113960.18109385084,26.02712145609658,3839.048862570223,2026-01-31,48.0,-17.24137931034483,4.085934963021003
394452,"Centralia, WA",WA,447,2026-01-31,420011.52693259466,35.78079172593773,29903.100048043172,2026-01-31,40.0,-56.52173913043479,-3.8906771668694624
394453,"Chambersburg, PA",PA,277,2026-01-31,279147.4861431771,30.953830540610696,13499.188862218069,2026-01-31,59.0,-10.606060606060607,2.5659869481418123
394454,"Champaign, IL",IL,209,2026-01-31,224206.42273331157,36.93099901238599,7970.6478469026015,2026-01-31,50.0,-16.666666666666664,4.455096306790994
394455,"Charleston, WV",WV,192,2026-01-31,142678.1195959705,28.41758139572623,5789.230236297626,2025-11-30,-5.0,-109.25925925925925,21.699842568129856
394456,"Charleston, IL",IL,549,2026-01-31,140408.7224903837,27.078990900459665,4726.916533629406,2026-01-31,50.0,25.0,8.825384241740284
394457,"Charleston, SC",SC,75,2026-01-31,424949.73756378674,43.59488105938429,24876.415861899262,2026-01-31,51.0,-25.0,0.10537880078003027
394458,"Charlotte, NC",NC,23,2026-01-31,380001.6805050068,40.006098550318534,25008.695386160598,2026-01-31,49.0,-46.15384615384615,-1.1342154852975304
394459,"Charlottesville, VA",VA,212,2026-01-31,455055.5926153311,32.08017604656372,21970.937804127643,2026-01-31,55.0,-19.11764705882353,3.2802676393031014
394460,"Chattanooga, TN",TN,102,2026-01-31,313998.91261536523,39.2452588230904,19258.836693371322,2026-01-31,46.0,-41.77215189873418,-1.170705145944233
394462,"Cheyenne, WY",WY,391,2026-01-31,377330.0213483514,16.1273711788986,15132.884579209505,2026-01-31,62.0,-17.333333333333336,-0.4879952746408539
394463,"Chicago, IL",IL,3,2026-01-31,333939.3432158068,33.664544294152535,13958.414518590054,2026-01-31,62.0,-6.060606060606055,2.534765976412632
394464,"Chico, CA",CA,215,2026-01-31,390263.6694931655,8.032369465606525,16981.001952634124,2026-01-31,53.0,-37.64705882352941,-1.4941708225114345
394465,"Chillicothe, OH",OH,460,2026-01-31,191952.52626786532,35.74354429334636,10184.329926288823,2026-01-31,39.0,-41.7910447761194,4.346424288250715
394466,"Cincinnati, OH",OH,28,2026-01-31,295717.34977593744,35.826252088782915,16458.75933425071,2025-10-31,3.0,-95.45454545454545,-3.6956781711410254
394469,"Clarksburg, WV",WV,418,2026-01-31,146886.54087322525,16.999254213046953,5336.84215484283,2026-01-31,56.0,75.0,3.844755383475464
394470,"Clarksdale, MS",MS,889,2026-01-31,47381.41071909169,-30.559410803701738,745.8284243073604,2026-01-31,50.0,-38.27160493827161,0.0640307135137181
394471,"Clarksville, TN",TN,163,2026-01-31,289122.2541496436,39.6803313597069,17809.33238051729,2026-01-31,43.0,-54.73684210526315,-2.2552340025781095
394472,"Clearlake, CA",CA,492,2026-01-31,300233.88229904056,4.089766413888163,13394.58288731218,2026-01-31,39.0,-67.5,-2.161978705637907
394473,"Cleveland, MS",MS,806,2026-01-31,118696.55044703452,-25.426423737832405,-2548.731304690239,2026-01-31,38.0,,-3.09854898861573
394474,"Cleveland, TN",TN,334,2026-01-31,298457.14245655545,44.538057505636154,18777.86318305935,2026-01-31,25.0,-72.22222222222221,-2.8177341469600687
394475,"Cleveland, OH",OH,35,2026-01-31,236080.1853169796,40.17862428934422,12282.126237266515,2026-01-31,56.0,-17.647058823529417,3.4011282929774156
394476,"Clewiston, FL",FL,704,2026-01-31,271873.9068297223,54.417008689524195,21541.23357814717,2026-01-31,42.0,-23.636363636363633,-1.373973289831709
394477,"Clinton, IA",IA,631,2026-01-31,166668.7046056991,24.795975924115776,6764.884108281323,2026-01-31,0.0,-100.0,3.540832255415034
394478,"Clovis, NM",NM,615,2026-01-31,153792.4634033309,-0.5776955914036264,3159.163099945021,2026-01-31,46.0,-17.85714285714286,0.13379462115085625
394480,"Coeur d'Alene, ID",ID,262,2026-01-31,577483.23370252,38.06657968083085,43410.15982239298,2026-01-31,53.0,-48.54368932038835,-2.1894085444873013
394481,"Coffeyville, KS",KS,803,2026-01-31,91868.20007837884,33.196255937070276,3974.52446123237,2026-01-31,46.0,-42.50000000000001,2.6326545714986516
394482,"Coldwater, MI",MI,660,2026-01-31,193709.28425020093,22.865394421968134,8417.871168364367,2025-12-31,10.0,-90.990990990991,-1.4991600731097723
394483,"College Station, TX",TX,189,2026-01-31,300625.66661329824,25.425372052839013,11997.5692659723,2026-01-31,48.0,-22.580645161290324,0.6233617857166438
394484,"Colorado Springs, CO",CO,80,2026-01-31,447916.6230765702,20.59828127864396,25889.330320065634,2026-01-31,55.0,-40.86021505376344,-2.5448129193424056
